Strategy,PlayerID,Generation,TeamStatus,SessionStatus,Notes
Diachronic,P28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
Diachronic,P35,2,bad_ancestor,valid,NA
Diachronic,P313,1,valid,valid,NA
Diachronic,P316,2,valid,valid,NA
Diachronic,P337,1,incomplete_team,valid,NA
Diachronic,P338,1,valid,valid,NA
Diachronic,P343,2,valid,valid,NA
Diachronic,P339,1,valid,valid,NA
Diachronic,P356,2,valid,valid,NA
Diachronic,P364,1,bad_ancestor,bad_compliance,got frustrated but participant fully
Diachronic,P376,2,bad_ancestor,bad_compliance,"got frustrated, asked for help"
Diachronic,P36,1,valid,valid,NA
Diachronic,P39,2,valid,valid,NA
Diachronic,P413,1,valid,valid,NA
Diachronic,P414,2,valid,valid,NA
Diachronic,P432,1,valid,valid,NA
Diachronic,P433,2,valid,valid,NA
Diachronic,P435,1,incomplete_team,valid,NA
Diachronic,P40,1,valid,valid,NA
Diachronic,P53,2,valid,valid,NA
Diachronic,P14,1,valid,valid,NA
Diachronic,P17,2,valid,valid,NA
Diachronic,P618,1,valid,valid,NA
Diachronic,P620,2,valid,valid,NA
Diachronic,P619,1,valid,valid,NA
Diachronic,P621,2,valid,valid,NA
Diachronic,P622,1,valid,valid,NA
Diachronic,P627,2,valid,valid,NA
Diachronic,P646,1,valid,valid,NA
Diachronic,P657,2,valid,valid,NA
Diachronic,P658,1,valid,valid,NA
Diachronic,P660,2,valid,valid,NA
Diachronic,P659,1,valid,valid,NA
Diachronic,P665,2,valid,valid,NA
Diachronic,P676,1,valid,valid,NA
Diachronic,P679,2,valid,valid,NA
Diachronic,P683,1,valid,valid,NA
Diachronic,P686,2,valid,valid,NA
Diachronic,P692,1,valid,valid,NA
Diachronic,P695,2,valid,valid,NA
Diachronic,P705,1,bad_ancestor,bad_compliance,was sleepy and yawning alot
Diachronic,P707,2,bad_ancestor,valid,NA
Diachronic,P706,1,valid,valid,NA
Diachronic,P708,2,valid,valid,NA
Diachronic,P716,1,valid,valid,NA
Diachronic,P717,2,valid,valid,NA
Diachronic,P726,1,bad_ancestor,bad_compliance,got frustrated and was tired
Diachronic,P747,2,bad_ancestor,valid,NA
