PlayerID,Generation,TeamStatus,SessionStatus,Notes
P28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
P35,2,bad_ancestor,valid,
P544,3,bad_ancestor,valid,
P591,4,bad_ancestor,valid,
P313,1,bad_ancestor,valid,
P316,2,bad_ancestor,valid,
P317,3,bad_ancestor,bad_compliance,"Got frustrated at first, and playing phones during the break. He was guessing during last 10 min, and showed impatience."
P336,4,bad_ancestor,valid,
P337,1,incomplete_team,valid,
P338,1,valid,valid,
P343,2,valid,valid,
P357,3,valid,valid,
P363,4,valid,valid,
P339,1,bad_ancestor,valid,
P356,2,bad_ancestor,valid,
P362,3,bad_ancestor,valid,
P377,4,bad_ancestor,bad_compliance,"got frustrated, put head on desk"
P364,1,bad_ancestor,bad_compliance,got frustrated but participant fully
P376,2,bad_ancestor,bad_compliance,"got frustrated, asked for help"
P412,3,bad_ancestor,valid,
P431,4,bad_ancestor,valid,
P36,1,valid,valid,
P39,2,valid,valid,
P559,3,valid,valid,
P592,4,valid,valid,
P413,1,valid,valid,
P414,2,valid,valid,
P430,3,valid,valid,
P434,4,valid,valid,
P432,1,valid,valid,
P433,2,valid,valid,
P560,3,valid,valid,
P593,4,valid,valid,
P435,1,incomplete_team,valid,
P40,1,valid,valid,
P53,2,valid,valid,
P575,3,valid,valid,
P595,4,valid,valid,
P14,1,valid,valid,
P17,2,valid,valid,
P584,3,valid,valid,
P589,4,valid,valid,
P618,1,valid,valid,
P620,2,valid,valid,
P628,3,valid,valid,
P643,4,valid,valid,
P619,1,valid,valid,
P621,2,valid,valid,
P631,3,valid,valid,
P644,4,valid,valid,
P622,1,valid,valid,
P627,2,valid,valid,
P640,3,valid,valid,
P645,4,valid,valid,
P646,1,valid,valid,
P657,2,valid,valid,
P668,3,valid,valid,
P675,4,valid,valid,
P658,1,valid,valid,
P660,2,valid,valid,
P666,3,valid,valid,
P671,4,valid,valid,
P659,1,valid,valid,
P665,2,valid,valid,
P667,3,valid,valid,
P672,4,valid,valid,
P676,1,valid,valid,
P679,2,valid,valid,
P682,3,valid,valid,
P690,4,valid,valid,
P683,1,valid,valid,
P686,2,valid,valid,
P687,3,valid,valid,
P691,4,valid,valid,
P692,1,valid,valid,
P695,2,valid,valid,
P704,3,valid,valid,
P715,4,valid,valid,
P705,1,bad_ancestor,bad_compliance,was sleepy and yawning alot
P707,2,bad_ancestor,valid,
P713,3,bad_ancestor,valid,
P723,4,bad_ancestor,valid,
P706,1,valid,valid,
P708,2,valid,valid,
P714,3,valid,valid,
P724,4,valid,valid,
P716,1,bad_ancestor,valid,
P717,2,bad_ancestor,valid,
P722,3,bad_ancestor,bad_compliance,very tired and sleepy
P725,4,bad_ancestor,valid,
P726,1,bad_ancestor,bad_compliance,got frustrated and was tired
P747,2,bad_ancestor,valid,
P751,3,bad_ancestor,valid,
P754,4,bad_ancestor,valid,
P727,1,valid,valid,
P748,2,valid,valid,
P752,3,valid,valid,
P755,4,valid,valid,
P749,1,valid,valid,
P750,2,valid,valid,
P753,3,valid,valid,
P779,4,valid,valid,
P780,1,incomplete_team,valid,
P789,2,incomplete_team,valid,
P790,1,incomplete_team,valid,
P833,2,incomplete_team,valid,
P791,1,incomplete_team,valid,
P834,2,incomplete_team,valid,
P54,1,valid,valid,
P55,2,valid,valid,
P581,3,valid,valid,
P605,4,valid,valid,
P56,1,valid,valid,
P61,2,valid,valid,
P580,3,valid,valid,
P606,4,valid,valid,
P66,1,valid,valid,
P200,2,valid,valid,
P214,3,valid,valid,
P271,4,valid,valid,
P71,1,valid,valid,
P155,2,valid,valid,
P203,3,valid,valid,
P235,4,valid,valid,
P18,1,valid,valid,
P27,2,valid,valid,
P537,3,valid,valid,
P590,4,valid,valid,
P75,1,valid,valid,
P159,2,valid,valid,
P206,3,valid,valid,
P236,4,valid,valid,
P81,1,valid,valid,
P167,2,valid,valid,
P207,3,valid,valid,
P239,4,valid,valid,
P86,1,incomplete_team,valid,
P573,3,experiment_error,experiment_error,Experiment went long. Possibly ran as Isolated by accident?
P88,1,valid,valid,
P171,2,valid,valid,
P208,3,valid,valid,
P240,4,valid,valid,
P90,1,valid,valid,
P172,2,valid,valid,
P209,3,valid,valid,
P254,4,valid,valid,
P92,1,valid,valid,
P173,2,valid,valid,
P210,3,valid,valid,
P260,4,valid,valid,
P95,1,bad_ancestor,bad_compliance,visibly frustrated but fully participated
P178,2,bad_ancestor,valid,
P213,3,bad_ancestor,valid,
P262,4,bad_ancestor,valid,
P97,1,valid,valid,
P98,2,valid,valid,
P574,3,valid,valid,
P594,4,valid,valid,
P101,1,valid,valid,
P106,2,valid,valid,
P507,3,valid,valid,
P596,4,valid,valid,
P107,1,valid,valid,
P109,2,valid,valid,
P505,3,valid,valid,
P588,4,valid,valid,
P111,1,valid,valid,
P113,2,valid,valid,
P504,3,valid,valid,
P586,4,valid,valid,
P117,1,valid,valid,
P118,2,valid,valid,
P506,3,valid,valid,
P587,4,valid,valid,
P119,1,bad_ancestor,bad_compliance,Needed instructions given to him a second time after game started
P120,2,bad_ancestor,valid,
P583,3,bad_ancestor,valid,
P598,4,bad_ancestor,valid,
P121,1,valid,valid,
P124,2,valid,valid,
P582,3,valid,valid,
P604,4,valid,valid,
P125,1,valid,valid,
P126,2,valid,valid,
P562,3,valid,valid,
P607,4,valid,valid,
P128,1,bad_ancestor,valid,
P194,2,bad_ancestor,valid,
P215,3,bad_ancestor,bad_compliance,"Stopped trying after he finished making the items the ancestor made (ancestor had 1199 points, so that took up most of his time)"
P272,4,bad_ancestor,valid,
P130,1,valid,valid,
P132,2,valid,valid,
P561,3,valid,valid,
P608,4,valid,valid,
P135,1,bad_ancestor,valid,
P195,2,bad_ancestor,valid,
P216,3,bad_ancestor,bad_compliance,Didn't get up to the same level as her ancestor
P279,4,bad_ancestor,valid,
P137,1,valid,valid,
P196,2,valid,valid,
P217,3,valid,valid,
P280,4,valid,valid,
P139,1,valid,valid,
P197,2,valid,valid,
