Strategy,PlayerID,TeamID,Generation,TeamStatus,SessionStatus,Notes
Diachronic,P28,G10,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
Diachronic,P35,G10,2,bad_ancestor,valid,NA
Diachronic,P313,G133,1,valid,valid,NA
Diachronic,P316,G133,2,valid,valid,NA
Diachronic,P337,G141,1,incomplete_team,valid,NA
Diachronic,P338,G142,1,valid,valid,NA
Diachronic,P343,G142,2,valid,valid,NA
Diachronic,P339,G143,1,valid,valid,NA
Diachronic,P356,G143,2,valid,valid,NA
Diachronic,P364,G158,1,bad_ancestor,bad_compliance,got frustrated but participant fully
Diachronic,P376,G158,2,bad_ancestor,bad_compliance,"got frustrated, asked for help"
Diachronic,P36,G16,1,valid,valid,NA
Diachronic,P39,G16,2,valid,valid,NA
Diachronic,P413,G174,1,valid,valid,NA
Diachronic,P414,G174,2,valid,valid,NA
Diachronic,P432,G175,1,valid,valid,NA
Diachronic,P433,G175,2,valid,valid,NA
Diachronic,P435,G176,1,incomplete_team,valid,NA
Diachronic,P40,G18,1,valid,valid,NA
Diachronic,P53,G18,2,valid,valid,NA
Diachronic,P14,G2,1,valid,valid,NA
Diachronic,P17,G2,2,valid,valid,NA
Diachronic,P618,G208,1,valid,valid,NA
Diachronic,P620,G208,2,valid,valid,NA
Diachronic,P619,G209,1,valid,valid,NA
Diachronic,P621,G209,2,valid,valid,NA
Diachronic,P622,G210,1,valid,valid,NA
Diachronic,P627,G210,2,valid,valid,NA
Diachronic,P646,G217,1,valid,valid,NA
Diachronic,P657,G217,2,valid,valid,NA
Diachronic,P658,G221,1,valid,valid,NA
Diachronic,P660,G221,2,valid,valid,NA
Diachronic,P659,G222,1,valid,valid,NA
Diachronic,P665,G222,2,valid,valid,NA
Diachronic,P676,G227,1,valid,valid,NA
Diachronic,P679,G227,2,valid,valid,NA
Diachronic,P683,G230,1,valid,valid,NA
Diachronic,P686,G230,2,valid,valid,NA
Diachronic,P692,G233,1,valid,valid,NA
Diachronic,P695,G233,2,valid,valid,NA
Diachronic,P705,G237,1,bad_ancestor,bad_compliance,was sleepy and yawning alot
Diachronic,P707,G237,2,bad_ancestor,valid,NA
Diachronic,P706,G238,1,valid,valid,NA
Diachronic,P708,G238,2,valid,valid,NA
Diachronic,P716,G241,1,valid,valid,NA
Diachronic,P717,G241,2,valid,valid,NA
Diachronic,P726,G243,1,bad_ancestor,bad_compliance,got frustrated and was tired
Diachronic,P747,G243,2,bad_ancestor,valid,NA
Diachronic,P727,G244,1,valid,valid,NA
Diachronic,P748,G244,2,valid,valid,NA
