Strategy,TeamID,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Diachronic,G10,P28,S28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
Diachronic,G10,P35,S35,2,bad_ancestor,valid,NA
Diachronic,G10,P544,S544,3,bad_ancestor,valid,NA
Diachronic,G10,P591,S591,4,bad_ancestor,valid,NA
Diachronic,G133,P313,S313,1,bad_ancestor,valid,NA
Diachronic,G133,P316,S316,2,bad_ancestor,valid,NA
Diachronic,G133,P317,S317,3,bad_ancestor,bad_compliance,"Got frustrated at first, and playing phones during the break. He was guessing during last 10 min, and showed impatience."
Diachronic,G133,P336,S336,4,bad_ancestor,valid,NA
Diachronic,G141,P337,S337,1,incomplete_team,valid,NA
Diachronic,G142,P338,S338,1,valid,valid,NA
Diachronic,G142,P343,S343,2,valid,valid,NA
Diachronic,G142,P357,S357,3,valid,valid,NA
Diachronic,G142,P363,S363,4,valid,valid,NA
Diachronic,G143,P339,S339,1,bad_ancestor,valid,NA
Diachronic,G143,P356,S356,2,bad_ancestor,valid,NA
Diachronic,G143,P362,S362,3,bad_ancestor,valid,NA
Diachronic,G143,P377,S377,4,bad_ancestor,bad_compliance,"got frustrated, put head on desk"
Diachronic,G158,P364,S364,1,bad_ancestor,bad_compliance,got frustrated but participant fully
Diachronic,G158,P376,S376,2,bad_ancestor,bad_compliance,"got frustrated, asked for help"
Diachronic,G158,P412,S412,3,bad_ancestor,valid,NA
Diachronic,G158,P431,S431,4,bad_ancestor,valid,NA
Diachronic,G16,P36,S36,1,valid,valid,NA
Diachronic,G16,P39,S39,2,valid,valid,NA
Diachronic,G16,P559,S559,3,valid,valid,NA
Diachronic,G16,P592,S592,4,valid,valid,NA
Diachronic,G174,P413,S413,1,valid,valid,NA
Diachronic,G174,P414,S414,2,valid,valid,NA
Diachronic,G174,P430,S430,3,valid,valid,NA
Diachronic,G174,P434,S434,4,valid,valid,NA
Diachronic,G175,P432,S432,1,valid,valid,NA
Diachronic,G175,P433,S433,2,valid,valid,NA
Diachronic,G175,P560,S560,3,valid,valid,NA
Diachronic,G175,P593,S593,4,valid,valid,NA
Diachronic,G176,P435,S435,1,incomplete_team,valid,NA
Diachronic,G18,P40,S40,1,valid,valid,NA
Diachronic,G18,P53,S53,2,valid,valid,NA
Diachronic,G18,P575,S575,3,valid,valid,NA
Diachronic,G18,P595,S595,4,valid,valid,NA
Diachronic,G2,P14,S14,1,valid,valid,NA
Diachronic,G2,P17,S17,2,valid,valid,NA
Diachronic,G2,P584,S584,3,valid,valid,NA
Diachronic,G2,P589,S589,4,valid,valid,NA
Diachronic,G208,P618,S618,1,valid,valid,NA
Diachronic,G208,P620,S620,2,valid,valid,NA
Diachronic,G208,P628,S628,3,valid,valid,NA
Diachronic,G208,P643,S643,4,valid,valid,NA
Diachronic,G209,P619,S619,1,valid,valid,NA
Diachronic,G209,P621,S621,2,valid,valid,NA
Diachronic,G209,P631,S631,3,valid,valid,NA
Diachronic,G209,P644,S644,4,valid,valid,NA
Diachronic,G210,P622,S622,1,valid,valid,NA
Diachronic,G210,P627,S627,2,valid,valid,NA
Diachronic,G210,P640,S640,3,valid,valid,NA
Diachronic,G210,P645,S645,4,valid,valid,NA
Diachronic,G217,P646,S646,1,valid,valid,NA
Diachronic,G217,P657,S657,2,valid,valid,NA
Diachronic,G217,P668,S668,3,valid,valid,NA
Diachronic,G217,P675,S675,4,valid,valid,NA
Diachronic,G221,P658,S658,1,valid,valid,NA
Diachronic,G221,P660,S660,2,valid,valid,NA
Diachronic,G221,P666,S666,3,valid,valid,NA
Diachronic,G221,P671,S671,4,valid,valid,NA
Diachronic,G222,P659,S659,1,valid,valid,NA
Diachronic,G222,P665,S665,2,valid,valid,NA
Diachronic,G222,P667,S667,3,valid,valid,NA
Diachronic,G222,P672,S672,4,valid,valid,NA
Diachronic,G227,P676,S676,1,valid,valid,NA
Diachronic,G227,P679,S679,2,valid,valid,NA
Diachronic,G227,P682,S682,3,valid,valid,NA
Diachronic,G227,P690,S690,4,valid,valid,NA
Diachronic,G230,P683,S683,1,valid,valid,NA
Diachronic,G230,P686,S686,2,valid,valid,NA
Diachronic,G230,P687,S687,3,valid,valid,NA
Diachronic,G230,P691,S691,4,valid,valid,NA
Diachronic,G233,P692,S692,1,valid,valid,NA
Diachronic,G233,P695,S695,2,valid,valid,NA
Diachronic,G233,P704,S704,3,valid,valid,NA
Diachronic,G233,P715,S715,4,valid,valid,NA
Diachronic,G237,P705,S705,1,bad_ancestor,bad_compliance,was sleepy and yawning alot
Diachronic,G237,P707,S707,2,bad_ancestor,valid,NA
Diachronic,G237,P713,S713,3,bad_ancestor,valid,NA
Diachronic,G237,P723,S723,4,bad_ancestor,valid,NA
Diachronic,G238,P706,S706,1,valid,valid,NA
Diachronic,G238,P708,S708,2,valid,valid,NA
Diachronic,G238,P714,S714,3,valid,valid,NA
Diachronic,G238,P724,S724,4,valid,valid,NA
Diachronic,G241,P716,S716,1,bad_ancestor,valid,NA
Diachronic,G241,P717,S717,2,bad_ancestor,valid,NA
Diachronic,G241,P722,S722,3,bad_ancestor,bad_compliance,very tired and sleepy
Diachronic,G241,P725,S725,4,bad_ancestor,valid,NA
Diachronic,G243,P726,S726,1,bad_ancestor,bad_compliance,got frustrated and was tired
Diachronic,G243,P747,S747,2,bad_ancestor,valid,NA
Diachronic,G243,P751,S751,3,bad_ancestor,valid,NA
Diachronic,G243,P754,S754,4,bad_ancestor,valid,NA
