Strategy,PlayerID,Generation,Instructions,TeamStatus,SessionStatus,Notes
Diachronic,P28,1,no_instructions,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
Diachronic,P35,2,no_instructions,bad_ancestor,valid,NA
Diachronic,P313,1,no_instructions,valid,valid,NA
Diachronic,P316,2,no_instructions,valid,valid,NA
Diachronic,P337,1,no_instructions,incomplete_team,valid,NA
Diachronic,P338,1,no_instructions,valid,valid,NA
Diachronic,P343,2,no_instructions,valid,valid,NA
Diachronic,P339,1,no_instructions,valid,valid,NA
Diachronic,P356,2,no_instructions,valid,valid,NA
Diachronic,P364,1,no_instructions,bad_ancestor,bad_compliance,got frustrated but participant fully
Diachronic,P376,2,no_instructions,bad_ancestor,bad_compliance,"got frustrated, asked for help"
Diachronic,P36,1,no_instructions,valid,valid,NA
Diachronic,P39,2,no_instructions,valid,valid,NA
Diachronic,P413,1,no_instructions,valid,valid,NA
Diachronic,P414,2,no_instructions,valid,valid,NA
Diachronic,P432,1,no_instructions,valid,valid,NA
Diachronic,P433,2,no_instructions,valid,valid,NA
Diachronic,P435,1,no_instructions,incomplete_team,valid,NA
Diachronic,P40,1,no_instructions,valid,valid,NA
Diachronic,P53,2,no_instructions,valid,valid,NA
Diachronic,P14,1,no_instructions,valid,valid,NA
Diachronic,P17,2,no_instructions,valid,valid,NA
Diachronic,P618,1,no_instructions,valid,valid,NA
Diachronic,P620,2,no_instructions,valid,valid,NA
Diachronic,P619,1,no_instructions,valid,valid,NA
Diachronic,P621,2,no_instructions,valid,valid,NA
Diachronic,P622,1,no_instructions,valid,valid,NA
Diachronic,P627,2,no_instructions,valid,valid,NA
Diachronic,P646,1,no_instructions,valid,valid,NA
Diachronic,P657,2,no_instructions,valid,valid,NA
Diachronic,P658,1,no_instructions,valid,valid,NA
Diachronic,P660,2,no_instructions,valid,valid,NA
Diachronic,P659,1,no_instructions,valid,valid,NA
Diachronic,P665,2,no_instructions,valid,valid,NA
Diachronic,P676,1,no_instructions,valid,valid,NA
Diachronic,P679,2,no_instructions,valid,valid,NA
Diachronic,P683,1,no_instructions,valid,valid,NA
Diachronic,P686,2,no_instructions,valid,valid,NA
Diachronic,P692,1,no_instructions,valid,valid,NA
Diachronic,P695,2,no_instructions,valid,valid,NA
Diachronic,P705,1,no_instructions,bad_ancestor,bad_compliance,was sleepy and yawning alot
Diachronic,P707,2,no_instructions,bad_ancestor,valid,NA
Diachronic,P706,1,no_instructions,valid,valid,NA
Diachronic,P708,2,no_instructions,valid,valid,NA
Diachronic,P716,1,no_instructions,valid,valid,NA
Diachronic,P717,2,no_instructions,valid,valid,NA
Diachronic,P726,1,no_instructions,bad_ancestor,bad_compliance,got frustrated and was tired
Diachronic,P747,2,no_instructions,bad_ancestor,valid,NA
Diachronic,P727,1,no_instructions,valid,valid,NA
Diachronic,P748,2,no_instructions,valid,valid,NA
Diachronic,P749,1,no_instructions,valid,valid,NA
Diachronic,P750,2,no_instructions,valid,valid,NA
Diachronic,P780,1,no_instructions,valid,valid,NA
Diachronic,P789,2,no_instructions,valid,valid,NA
Diachronic,P790,1,no_instructions,valid,valid,NA
Diachronic,P833,2,no_instructions,valid,valid,NA
Diachronic,P791,1,no_instructions,valid,valid,NA
Diachronic,P834,2,no_instructions,valid,valid,NA
Diachronic,P54,1,no_instructions,valid,valid,NA
Diachronic,P55,2,no_instructions,valid,valid,NA
Diachronic,P56,1,no_instructions,valid,valid,NA
Diachronic,P61,2,no_instructions,valid,valid,NA
Diachronic,P66,1,no_instructions,valid,valid,NA
Diachronic,P200,2,no_instructions,valid,valid,NA
Diachronic,P71,1,no_instructions,valid,valid,NA
Diachronic,P155,2,no_instructions,valid,valid,NA
Diachronic,P18,1,no_instructions,valid,valid,NA
Diachronic,P27,2,no_instructions,valid,valid,NA
Diachronic,P75,1,no_instructions,valid,valid,NA
Diachronic,P159,2,no_instructions,valid,valid,NA
Diachronic,P81,1,no_instructions,valid,valid,NA
Diachronic,P167,2,no_instructions,valid,valid,NA
Diachronic,P86,1,no_instructions,incomplete_team,valid,NA
Diachronic,P88,1,no_instructions,valid,valid,NA
Diachronic,P171,2,no_instructions,valid,valid,NA
Diachronic,P90,1,no_instructions,valid,valid,NA
Diachronic,P172,2,no_instructions,valid,valid,NA
Diachronic,P92,1,no_instructions,valid,valid,NA
Diachronic,P173,2,no_instructions,valid,valid,NA
Diachronic,P95,1,no_instructions,bad_ancestor,bad_compliance,visibly frustrated but fully participated
Diachronic,P178,2,no_instructions,bad_ancestor,valid,NA
Diachronic,P97,1,no_instructions,valid,valid,NA
Diachronic,P98,2,no_instructions,valid,valid,NA
Diachronic,P101,1,no_instructions,valid,valid,NA
Diachronic,P106,2,no_instructions,valid,valid,NA
Diachronic,P107,1,no_instructions,valid,valid,NA
Diachronic,P109,2,no_instructions,valid,valid,NA
Diachronic,P111,1,no_instructions,valid,valid,NA
Diachronic,P113,2,no_instructions,valid,valid,NA
Diachronic,P117,1,no_instructions,valid,valid,NA
Diachronic,P118,2,no_instructions,valid,valid,NA
Diachronic,P119,1,no_instructions,bad_ancestor,bad_compliance,Needed instructions given to him a second time after game started
Diachronic,P120,2,no_instructions,bad_ancestor,valid,NA
Diachronic,P121,1,no_instructions,valid,valid,NA
Diachronic,P124,2,no_instructions,valid,valid,NA
Diachronic,P125,1,no_instructions,valid,valid,NA
Diachronic,P126,2,no_instructions,valid,valid,NA
Diachronic,P128,1,no_instructions,valid,valid,NA
Diachronic,P194,2,no_instructions,valid,valid,NA
Diachronic,P130,1,no_instructions,valid,valid,NA
Diachronic,P132,2,no_instructions,valid,valid,NA
Diachronic,P135,1,no_instructions,valid,valid,NA
Diachronic,P195,2,no_instructions,valid,valid,NA
Diachronic,P137,1,no_instructions,valid,valid,NA
Diachronic,P196,2,no_instructions,valid,valid,NA
Diachronic,P139,1,no_instructions,valid,valid,NA
Diachronic,P197,2,no_instructions,valid,valid,NA
Diachronic,P147,1,no_instructions,valid,valid,NA
