Strategy,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes,TeamSize
Diachronic,P28,S28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment,2
Diachronic,P35,S35,2,bad_ancestor,valid,NA,2
Diachronic,P313,S313,1,valid,valid,NA,2
Diachronic,P316,S316,2,valid,valid,NA,2
Diachronic,P337,S337,1,incomplete_team,valid,NA,2
Diachronic,P338,S338,1,valid,valid,NA,2
Diachronic,P343,S343,2,valid,valid,NA,2
Diachronic,P339,S339,1,valid,valid,NA,2
Diachronic,P356,S356,2,valid,valid,NA,2
Diachronic,P364,S364,1,bad_ancestor,bad_compliance,got frustrated but participant fully,2
Diachronic,P376,S376,2,bad_ancestor,bad_compliance,"got frustrated, asked for help",2
Diachronic,P36,S36,1,valid,valid,NA,2
Diachronic,P39,S39,2,valid,valid,NA,2
Diachronic,P413,S413,1,valid,valid,NA,2
Diachronic,P414,S414,2,valid,valid,NA,2
Diachronic,P432,S432,1,valid,valid,NA,2
Diachronic,P433,S433,2,valid,valid,NA,2
Diachronic,P435,S435,1,incomplete_team,valid,NA,2
Diachronic,P40,S40,1,valid,valid,NA,2
Diachronic,P53,S53,2,valid,valid,NA,2
Diachronic,P14,S14,1,valid,valid,NA,2
Diachronic,P17,S17,2,valid,valid,NA,2
Diachronic,P618,S618,1,valid,valid,NA,2
Diachronic,P620,S620,2,valid,valid,NA,2
Diachronic,P619,S619,1,valid,valid,NA,2
Diachronic,P621,S621,2,valid,valid,NA,2
Diachronic,P622,S622,1,valid,valid,NA,2
Diachronic,P627,S627,2,valid,valid,NA,2
Diachronic,P646,S646,1,valid,valid,NA,2
Diachronic,P657,S657,2,valid,valid,NA,2
Diachronic,P658,S658,1,valid,valid,NA,2
Diachronic,P660,S660,2,valid,valid,NA,2
Diachronic,P659,S659,1,valid,valid,NA,2
Diachronic,P665,S665,2,valid,valid,NA,2
Diachronic,P676,S676,1,valid,valid,NA,2
Diachronic,P679,S679,2,valid,valid,NA,2
Diachronic,P683,S683,1,valid,valid,NA,2
Diachronic,P686,S686,2,valid,valid,NA,2
Diachronic,P692,S692,1,valid,valid,NA,2
Diachronic,P695,S695,2,valid,valid,NA,2
Diachronic,P705,S705,1,bad_ancestor,bad_compliance,was sleepy and yawning alot,2
Diachronic,P707,S707,2,bad_ancestor,valid,NA,2
Diachronic,P706,S706,1,valid,valid,NA,2
Diachronic,P708,S708,2,valid,valid,NA,2
Diachronic,P716,S716,1,valid,valid,NA,2
Diachronic,P717,S717,2,valid,valid,NA,2
Diachronic,P726,S726,1,bad_ancestor,bad_compliance,got frustrated and was tired,2
Diachronic,P747,S747,2,bad_ancestor,valid,NA,2
Diachronic,P727,S727,1,valid,valid,NA,2
Diachronic,P748,S748,2,valid,valid,NA,2
Diachronic,P749,S749,1,valid,valid,NA,2
Diachronic,P750,S750,2,valid,valid,NA,2
Diachronic,P780,S780,1,valid,valid,NA,2
Diachronic,P789,S789,2,valid,valid,NA,2
Diachronic,P790,S790,1,valid,valid,NA,2
Diachronic,P833,S833,2,valid,valid,NA,2
Diachronic,P791,S791,1,valid,valid,NA,2
Diachronic,P834,S834,2,valid,valid,NA,2
Diachronic,P54,S54,1,valid,valid,NA,2
Diachronic,P55,S55,2,valid,valid,NA,2
Diachronic,P56,S56,1,valid,valid,NA,2
Diachronic,P61,S61,2,valid,valid,NA,2
Diachronic,P66,S66,1,valid,valid,NA,2
Diachronic,P200,S200,2,valid,valid,NA,2
Diachronic,P71,S71,1,valid,valid,NA,2
Diachronic,P155,S155,2,valid,valid,NA,2
Diachronic,P18,S18,1,valid,valid,NA,2
Diachronic,P27,S27,2,valid,valid,NA,2
Diachronic,P75,S75,1,valid,valid,NA,2
Diachronic,P159,S159,2,valid,valid,NA,2
Diachronic,P81,S81,1,valid,valid,NA,2
Diachronic,P167,S167,2,valid,valid,NA,2
Diachronic,P86,S86,1,incomplete_team,valid,NA,2
Diachronic,P88,S88,1,valid,valid,NA,2
Diachronic,P171,S171,2,valid,valid,NA,2
Diachronic,P90,S90,1,valid,valid,NA,2
Diachronic,P172,S172,2,valid,valid,NA,2
Diachronic,P92,S92,1,valid,valid,NA,2
Diachronic,P173,S173,2,valid,valid,NA,2
Diachronic,P95,S95,1,bad_ancestor,bad_compliance,visibly frustrated but fully participated,2
Diachronic,P178,S178,2,bad_ancestor,valid,NA,2
Diachronic,P97,S97,1,valid,valid,NA,2
Diachronic,P98,S98,2,valid,valid,NA,2
Diachronic,P101,S101,1,valid,valid,NA,2
Diachronic,P106,S106,2,valid,valid,NA,2
Diachronic,P107,S107,1,valid,valid,NA,2
Diachronic,P109,S109,2,valid,valid,NA,2
Diachronic,P111,S111,1,valid,valid,NA,2
Diachronic,P113,S113,2,valid,valid,NA,2
Diachronic,P117,S117,1,valid,valid,NA,2
Diachronic,P118,S118,2,valid,valid,NA,2
Diachronic,P119,S119,1,bad_ancestor,bad_compliance,Needed instructions given to him a second time after game started,2
Diachronic,P120,S120,2,bad_ancestor,valid,NA,2
Diachronic,P121,S121,1,valid,valid,NA,2
Diachronic,P124,S124,2,valid,valid,NA,2
Diachronic,P125,S125,1,valid,valid,NA,2
Diachronic,P126,S126,2,valid,valid,NA,2
Diachronic,P128,S128,1,valid,valid,NA,2
Diachronic,P194,S194,2,valid,valid,NA,2
Diachronic,P130,S130,1,valid,valid,NA,2
Diachronic,P132,S132,2,valid,valid,NA,2
Diachronic,P135,S135,1,valid,valid,NA,2
Diachronic,P195,S195,2,valid,valid,NA,2
Diachronic,P137,S137,1,valid,valid,NA,2
Diachronic,P196,S196,2,valid,valid,NA,2
Diachronic,P139,S139,1,valid,valid,NA,2
Diachronic,P197,S197,2,valid,valid,NA,2
Diachronic,P147,S147,1,valid,valid,NA,2
Diachronic,P148,S148,2,valid,valid,NA,2
Diachronic,P149,S149,1,valid,valid,NA,2
Diachronic,P150,S150,2,valid,valid,NA,2
Diachronic,P153,S153,1,valid,valid,NA,2
Diachronic,P198,S198,2,valid,valid,NA,2
Diachronic,P154,S154,1,valid,valid,NA,2
Diachronic,P199,S199,2,valid,valid,NA,2
Diachronic,P28,S28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment,4
Diachronic,P35,S35,2,bad_ancestor,valid,NA,4
Diachronic,P544,S544,3,bad_ancestor,valid,NA,4
Diachronic,P591,S591,4,bad_ancestor,valid,NA,4
Diachronic,P313,S313,1,bad_ancestor,valid,NA,4
Diachronic,P316,S316,2,bad_ancestor,valid,NA,4
Diachronic,P317,S317,3,bad_ancestor,bad_compliance,"Got frustrated at first, and playing phones during the break. He was guessing during last 10 min, and showed impatience.",4
Diachronic,P336,S336,4,bad_ancestor,valid,NA,4
