Strategy,PlayerID,SessionID,Generation,TeamStatus,SessionStatus,Notes
Diachronic,P28,S28,1,bad_ancestor,bad_compliance,Got frustrated and started using cell phone during experiment
Diachronic,P35,S35,2,bad_ancestor,valid,NA
Diachronic,P544,S544,3,bad_ancestor,valid,NA
Diachronic,P591,S591,4,bad_ancestor,valid,NA
Diachronic,P313,S313,1,bad_ancestor,valid,NA
Diachronic,P316,S316,2,bad_ancestor,valid,NA
Diachronic,P317,S317,3,bad_ancestor,bad_compliance,"Got frustrated at first, and playing phones during the break. He was guessing during last 10 min, and showed impatience."
Diachronic,P336,S336,4,bad_ancestor,valid,NA
Diachronic,P337,S337,1,incomplete_team,valid,NA
Diachronic,P338,S338,1,valid,valid,NA
Diachronic,P343,S343,2,valid,valid,NA
Diachronic,P357,S357,3,valid,valid,NA
Diachronic,P363,S363,4,valid,valid,NA
Diachronic,P339,S339,1,bad_ancestor,valid,NA
Diachronic,P356,S356,2,bad_ancestor,valid,NA
Diachronic,P362,S362,3,bad_ancestor,valid,NA
Diachronic,P377,S377,4,bad_ancestor,bad_compliance,"got frustrated, put head on desk"
Diachronic,P364,S364,1,bad_ancestor,bad_compliance,got frustrated but participant fully
Diachronic,P376,S376,2,bad_ancestor,bad_compliance,"got frustrated, asked for help"
Diachronic,P412,S412,3,bad_ancestor,valid,NA
Diachronic,P431,S431,4,bad_ancestor,valid,NA
Diachronic,P36,S36,1,valid,valid,NA
Diachronic,P39,S39,2,valid,valid,NA
Diachronic,P559,S559,3,valid,valid,NA
Diachronic,P592,S592,4,valid,valid,NA
Diachronic,P413,S413,1,valid,valid,NA
Diachronic,P414,S414,2,valid,valid,NA
Diachronic,P430,S430,3,valid,valid,NA
Diachronic,P434,S434,4,valid,valid,NA
Diachronic,P432,S432,1,valid,valid,NA
Diachronic,P433,S433,2,valid,valid,NA
Diachronic,P560,S560,3,valid,valid,NA
Diachronic,P593,S593,4,valid,valid,NA
Diachronic,P435,S435,1,incomplete_team,valid,NA
Diachronic,P40,S40,1,valid,valid,NA
Diachronic,P53,S53,2,valid,valid,NA
Diachronic,P575,S575,3,valid,valid,NA
Diachronic,P595,S595,4,valid,valid,NA
Diachronic,P14,S14,1,valid,valid,NA
Diachronic,P17,S17,2,valid,valid,NA
Diachronic,P584,S584,3,valid,valid,NA
Diachronic,P589,S589,4,valid,valid,NA
Diachronic,P618,S618,1,valid,valid,NA
Diachronic,P620,S620,2,valid,valid,NA
Diachronic,P628,S628,3,valid,valid,NA
Diachronic,P643,S643,4,valid,valid,NA
Diachronic,P619,S619,1,valid,valid,NA
Diachronic,P621,S621,2,valid,valid,NA
Diachronic,P631,S631,3,valid,valid,NA
Diachronic,P644,S644,4,valid,valid,NA
Diachronic,P622,S622,1,valid,valid,NA
Diachronic,P627,S627,2,valid,valid,NA
Diachronic,P640,S640,3,valid,valid,NA
Diachronic,P645,S645,4,valid,valid,NA
Diachronic,P646,S646,1,valid,valid,NA
Diachronic,P657,S657,2,valid,valid,NA
Diachronic,P668,S668,3,valid,valid,NA
Diachronic,P675,S675,4,valid,valid,NA
Diachronic,P658,S658,1,valid,valid,NA
Diachronic,P660,S660,2,valid,valid,NA
Diachronic,P666,S666,3,valid,valid,NA
Diachronic,P671,S671,4,valid,valid,NA
Diachronic,P659,S659,1,valid,valid,NA
Diachronic,P665,S665,2,valid,valid,NA
Diachronic,P667,S667,3,valid,valid,NA
Diachronic,P672,S672,4,valid,valid,NA
Diachronic,P676,S676,1,valid,valid,NA
Diachronic,P679,S679,2,valid,valid,NA
Diachronic,P682,S682,3,valid,valid,NA
Diachronic,P690,S690,4,valid,valid,NA
Diachronic,P683,S683,1,valid,valid,NA
Diachronic,P686,S686,2,valid,valid,NA
Diachronic,P687,S687,3,valid,valid,NA
Diachronic,P691,S691,4,valid,valid,NA
Diachronic,P692,S692,1,valid,valid,NA
Diachronic,P695,S695,2,valid,valid,NA
Diachronic,P704,S704,3,valid,valid,NA
Diachronic,P715,S715,4,valid,valid,NA
Diachronic,P705,S705,1,bad_ancestor,bad_compliance,was sleepy and yawning alot
Diachronic,P707,S707,2,bad_ancestor,valid,NA
Diachronic,P713,S713,3,bad_ancestor,valid,NA
Diachronic,P723,S723,4,bad_ancestor,valid,NA
Diachronic,P706,S706,1,valid,valid,NA
Diachronic,P708,S708,2,valid,valid,NA
Diachronic,P714,S714,3,valid,valid,NA
Diachronic,P724,S724,4,valid,valid,NA
Diachronic,P716,S716,1,bad_ancestor,valid,NA
Diachronic,P717,S717,2,bad_ancestor,valid,NA
Diachronic,P722,S722,3,bad_ancestor,bad_compliance,very tired and sleepy
Diachronic,P725,S725,4,bad_ancestor,valid,NA
Diachronic,P726,S726,1,bad_ancestor,bad_compliance,got frustrated and was tired
Diachronic,P747,S747,2,bad_ancestor,valid,NA
Diachronic,P751,S751,3,bad_ancestor,valid,NA
Diachronic,P754,S754,4,bad_ancestor,valid,NA
Diachronic,P727,S727,1,valid,valid,NA
Diachronic,P748,S748,2,valid,valid,NA
Diachronic,P752,S752,3,valid,valid,NA
Diachronic,P755,S755,4,valid,valid,NA
Diachronic,P749,S749,1,valid,valid,NA
Diachronic,P750,S750,2,valid,valid,NA
Diachronic,P753,S753,3,valid,valid,NA
Diachronic,P779,S779,4,valid,valid,NA
Diachronic,P780,S780,1,incomplete_team,valid,NA
Diachronic,P789,S789,2,incomplete_team,valid,NA
Diachronic,P790,S790,1,incomplete_team,valid,NA
Diachronic,P833,S833,2,incomplete_team,valid,NA
Diachronic,P791,S791,1,incomplete_team,valid,NA
Diachronic,P834,S834,2,incomplete_team,valid,NA
Diachronic,P54,S54,1,valid,valid,NA
Diachronic,P55,S55,2,valid,valid,NA
Diachronic,P581,S581,3,valid,valid,NA
Diachronic,P605,S605,4,valid,valid,NA
Diachronic,P56,S56,1,valid,valid,NA
Diachronic,P61,S61,2,valid,valid,NA
Diachronic,P580,S580,3,valid,valid,NA
Diachronic,P606,S606,4,valid,valid,NA
Diachronic,P66,S66,1,valid,valid,NA
Diachronic,P200,S200,2,valid,valid,NA
Diachronic,P214,S214,3,valid,valid,NA
Diachronic,P271,S271,4,valid,valid,NA
Diachronic,P71,S71,1,valid,valid,NA
Diachronic,P155,S155,2,valid,valid,NA
Diachronic,P203,S203,3,valid,valid,NA
Diachronic,P235,S235,4,valid,valid,NA
Diachronic,P18,S18,1,valid,valid,NA
Diachronic,P27,S27,2,valid,valid,NA
