SubjNum,Sona,Duration,Strategy,InheritedID,Datetime,Experimenter,Room,SubjID,Compliance,Notes
1,TTP,25,Isolated - Split,0,9/17/2018 12:00PM,SF,Kramer,854,5,
2,TTP,25,Isolated - Split,0,9/17/2018 12:00PM,SF,George,855,5,
3,TTP,25,Isolated - Split,0,9/17/2018 12:00PM,SF,Elaine,856,5,
4,TTP,25,Isolated - Split,0,9/17/2018 12:00PM,SF,Jerry,857,5,
5,TTP,25,Isolated - Split,0,9/18/2018 12:30PM,SF,Kramer,870,5,
6,TTP,25,Isolated - Split,0,9/18/2018 12:30PM,SF,George,871,5,
7,TTP,25,Isolated - Split,0,9/18/2018 12:30PM,SF,Elaine,872,5,
8,TTP,25,Isolated - Split,0,9/18/2018 12:30PM,SF,Jerry,873,5,
9,TTP,25,Isolated - Split,0,9/18/2018 4:15PM,EG,Kramer,874,5,
10,TTP,25,Isolated - Split,0,9/18/2018 4:15PM,EG,George,875,3,Wrote one sentence in their instructions to the next participant.
11,TTP,25,Isolated - Split,0,9/18/2018 4:15PM,EG,Elaine,876,5,
12,TTP,25,Isolated - Split,0,9/18/2018 4:15PM,EG,Jerry,877,5,
13,TTP,25,Isolated - Split,0,9/19/2018 12:20PM,SF,Kramer,878,5,
14,TTP,25,Isolated - Split,0,9/19/2018 12:20PM,SF,George,879,5,
15,TTP,25,Isolated - Split,0,9/19/2018 12:20PM,SF,Elaine,880,5,
16,TTP,25,Isolated - Split,0,9/19/2018 12:20PM,SF,Jerry,881,5,
17,TTP,25,Isolated - Split,0,9/19/2018 1:05PM,SF,Kramer,882,5,
18,TTP,25,Isolated - Split,0,9/19/2018 1:05PM,SF,George,883,5,
19,TTP,25,Isolated - Split,0,9/19/2018 1:05PM,SF,Elaine,884,5,
20,TTP,25,Isolated - Split,0,9/19/2018 1:05PM,SF,Jerry,885,5,
21,TTP,25,Isolated - Split,0,9/21/2018 3:00PM,MP,Kramer,888,5,Fixed ID
22,TTP,25,Isolated - Split,0,9/21/2018 3:45PM,MP,Kramer,889,5,Likely 889-892
23,TTP,25,Isolated - Split,0,9/21/2018 3:45PM,MP,George,890,5,Likely 889-892
24,TTP,25,Isolated - Split,0,9/21/2018 3:45PM,MP,Elaine,891,5,Likely 889-892
25,TTP,25,Isolated - Split,0,9/21/2018 3:45PM,MP,Jerry,892,5,Likely 889-892
26,TTP,25,Isolated - Split,854,9/25/2018 4:15PM,EG,Kramer,893,5,computer shorted and didnt get the number and particpant didn't get to take the survey
27,TTP,25,Isolated - Split,855,9/25/2018 4:15PM,EG,George,894,5,
28,TTP,25,Isolated - Split,856,9/25/2018 4:15PM,EG,Elaine,895,5,
29,TTP,25,Isolated - Split,857,9/26/2018 3:30PM,MP,Kramer,898,5,"I messed up somehow and put participants 896-898 in the rooms out of order, but all of the info is correct"
30,TTP,25,Isolated - Split,870,9/26/2018 3:30PM,MP,George,899,5,
31,TTP,25,Isolated - Split,871,9/26/2018 3:30PM,MP,Elaine,896,5,
32,TTP,25,Isolated - Split,872,9/26/2018 3:30PM,MP,Jerry,897,5,
33,TTP,25,Isolated - Split,873,10/2/2018 12:30PM,SF,Kramer,900,5,
34,TTP,25,Isolated - Split,874,10/2/2018 12:30PM,SF,George,901,5,
35,TTP,25,Isolated - Split,877,10/2/2018 12:30PM,SF,Jerry,903,5,
36,TTP,25,Isolated - Split,876,10/2/2018 12:30PM,SF,Elaine,902,5,
37,TTP,25,Isolated - Split,878,10/2/2018 1:15PM,SF,Kramer,904,5,
38,TTP,25,Isolated - Split,879,10/2/2018 1:15PM,SF,George,905,5,
39,TTP,25,Isolated - Split,880,10/2/2018 1:15PM,SF,Elaine,906,5,
40,TTP,25,Isolated - Split,881,10/2/2018 1:15PM,SF,Jerry,907,5,
41,TTP,25,Isolated - Split,882,10/2/2018 4:20PM,EG,Kramer,908,5,
42,TTP,25,Isolated - Split,883,10/2/2018 4:20PM,EG,George,909,5,
43,TTP,25,Isolated - Split,884,10/2/2018 4:20PM,EG,Elaine,910,5,
44,TTP,25,Isolated - Split,0,10/5/2018 1:00PM,HB,Kramer,911,5,"(had to use ctrl-alt-del to get out of program, so there may be issues with using data for next generation)"
45,TTP,25,Isolated - Split,0,10/5/2018 1:00PM,HB,George,912,3,"(had to use ctrl-alt-del to get out of program, so there may be issues with using data for next generation); didn't goof off, but long periods of not trying any combinations"
46,TTP,25,Isolated - Split,0,10/5/2018 1:00PM,HB,Elaine,913,5,"(had to use ctrl-alt-del to get out of program, so there may be issues with using data for next generation)"
47,TTP,25,Isolated - Split,0,10/5/2018 1:50PM,HB,Kramer,914,5,
48,TTP,25,Isolated - Split,0,10/5/2018 1:50PM,HB,George,915,5,
49,TTP,25,Isolated - Split,0,10/5/2018 1:50PM,HB,Elaine,916,5,
50,TTP,25,Isolated - Split,0,10/5/2018 1:50PM,HB,Jerry,917,5,
51,TTP,25,Isolated - Split,911,10/6/2018 12:30PM,SF,Kramer,980,5,
52,TTP,25,Isolated - Split,912,10/6/2018 12:30PM,SF,George,981,5,
53,TTP,25,Isolated - Split,913,10/6/2018 12:30PM,SF,Elaine,982,3,gave up toward the end
54,TTP,25,Isolated - Split,914,10/6/2018 12:30PM,SF,Jerry,983,5,
55,TTP,25,Isolated - Split,915,10/6/2018 1:15PM,SF,Kramer,984,5,
56,TTP,25,Isolated - Split,916,10/6/2018 1:15PM,SF,George,985,5,
57,TTP,25,Isolated - Split,917,10/6/2018 1:15PM,SF,Elaine,986,5,
58,TTP,25,Isolated - Split,885,10/6/2018 1:15PM,SF,Jerry,987,5,
