Timestamp,Participant ID,Briefly describe the experiment you just completed and what you were supposed to do.,Would you have benefitted from more or better instructions?,How familiar are you with this kind of game?,How enjoyable did you find this game?,How difficult did you find this game?,"Did you use a specific strategy for combining resources and items in this game? If so, please describe it.",Do you have any comments about the game or the experiment that you would like to share with the researchers?
1/25/2017 14:07:01,17,The goal was to create a totem pole by building materials from the resources available. ,"No, I understood what I was supposed to do.",1,2,5,I tried combining resources that seemed to make sense together but when that didn't work I resorted to trying the resources in random combinations to try to get a fit.,No.
1/25/2017 14:10:44,18,"I thought this study had some teamwork, but it didn't. Otherwise the experiment was to create combinations to build a totem pole and score the most points.  ","Yes, I was confused about the task.",1,6,4,Try to use realistic combinations instead of just randomly combining the resources. ,None.
1/25/2017 15:24:00,19,We were asked to combine different resources to create tools and build a totem pole. ,"No, I understood what I was supposed to do.",5,6,6,"I tried to take a systematic approach at first, but eventually I just started combining things at random hoping they would combine into something useful.",
1/25/2017 15:24:47,22,Build a totem using the tools built by me.,"No, I understood what I was supposed to do.",6,6,5,random and pairing one by one to make combinations.,no it was fun!!
1/25/2017 15:25:08,21,I was suppose to combine resources to create tools to make a totem pole,"No, I understood what I was supposed to do.",4,2,6,Yes I tried to systematically combine two resource pairs,n/a
1/25/2017 15:25:12,20,we are supposed to use the most original materials to develop tools and make a totems for the tribe.,"No, I understood what I was supposed to do.",2,6,6,use rocks to create tools first and then use developed tools for further advanced tools.,It's cool but harder than I thought.
1/30/2017 12:02:44,27,We were supposed to make a totem pole using tools that were given to us and then using those tools to create an even more complex totem pole,"No, I understood what I was supposed to do.",6,7,4,"Trial and Error, process of elimination",Is there a way to get this game as a download so I can see if I can finally paint the totem pole?
1/30/2017 12:03:04,26,I was supposed to build a totem pole by getting the most points possible.,"No, I understood what I was supposed to do.",4,5,5,No ,No
1/30/2017 12:03:21,28,Try to combine resources you have to build other new materials for building totem,"No, I understood what I was supposed to do.",3,4,5,"Once I got new materials, I tried to combine those new materials together",no
1/30/2017 12:03:37,25,"Because tools were scarce where my tribe lived, we had to use available resources to build our own tools in order to make a totem pole","No, I understood what I was supposed to do.",4,6,5,,
