ID_Player,Sydny,Strategy
17,causal/random,I tried combining resources that seemed to make sense together but when that didn't work I resorted to trying the resources in random combinations to try to get a fit.
18,causal/random,Try to use realistic combinations instead of just randomly combining the resources.
19,systematic/random,"I tried to take a systematic approach at first, but eventually I just started combining things at random hoping they would combine into something useful."
22,random/systematic,random and pairing one by one to make combinations.
21,systematic ,Yes I tried to systematically combine two resource pairs
20,causal ,use rocks to create tools first and then use developed tools for further advanced tools.
27,systematic ,"Trial and Error, process of elimination"
26,no,No
28,systematic,"Once I got new materials, I tried to combine those new materials together"
25,no,NA
31,random ,just randomly kept putting things together
32,causal,Most of the time I tried to come up with a realistic way to create certain tools as if this were real life
29,systematic,I try to make a combination of every possible thing... but it doesn't work well
30,systematic,I placed each resource in the space by itself and tried pairing it with every other resource available. I also tried pairing the resources with the tools that were created.
34,systematic,"I put all of the same together first, than I switched one out each time it didn't work"
33,systematic,I would pick one thing and match everything up to it and see if it paired. then i would pick the next object.
36,no,there's a strategy?
35,random,"No, just try different combinitions."
39,ancestor ,I just used the help from the ancestor. With her directions on how to create certain tools.
38,systematic,"I attempted to take as much of a patterned approach as possible, in order to not skip any possibility."
40,systematic,"yes, some math strategy, since they are so many possibilities, I want to give up."
37,systematic,pick a resource and combine it with one another among the rest of resources and try one by one.
44,systematic,I tried to use one to the max combinations then went from there.
42,no,I tried to but it didn't work.
43,causal/random,At first I used basic knowledge and assumption to create combinations. Toward the end I got frustrated and picked combinations at random
41,systematic/causal,"Started with simple trial and error, then used my intuition to build better tools."
45,systematic,"I tried to combine each object with itself and all the other objects at least once and then vary those objects I'm combining with other objects. I tried to just try the patterns of combining everything together. (i.e Wood + wood, wood + rock, wood + rock + berry, etc)"
46,systematic/random,"In the beginning, I thought to put different things together. Soon after I just felt the need to put in different things and randomize them."
47,systematic,tried out each resources with the other resources
50,systematic,try to find all tools the derive from solely resources and then keep trying combinations
48,causal/random,I tried combining items that I thought would work together but it did not work well.
49,systematic/random,"At first, I make combinations of two using the original resources. After awhile, the combinations were mostly random."
53,no,no
52,systematic,trying all combinations
51,causal,Part of it was common sense.
54,systematic,I guess I sort of just used trial and error.
55,ancestor ,Try to think about the ancestor tools how to build
56,systematic,"you started simple, and then using the tools you built with simple resources to make complex resources"
57,systematic,I tried using different combinations
58,causal/systematic,I tried to try different tools one by one. I tried to think what tools would make sense if you put them together.
61,ancestor ,I used the resources that my ancestor had and built up from there
60,random/ancestor,Trying random combinations and looking at how previous tools were made.
59,no,"Not really, I just put pieces together that looked like they could make something new"
62,no,Not really. I just grouped random supplies together with others until they made a new supply.
63,systematic,"I guessed and checked nearly everything, based off of what was used previously to get other resources."
66,systematic,systematically increasing items in workshop
64,systematic,"Try items alone, try same item together"
65,systematic,"Try to combine the tools together, including the basic tools and advanced tools."
69,causal,just tried to think of what would actually build things in real life
70,ancestor ,knowledge of tools of the past
71,systematic,I tried used different things and kept track of what I did before and didn't do it again to not waste my time.
72,systematic,rotating out multiple items if i had excess than two
73,systematic,probability of combinations of items
74,no,"No, just used trial and error. I also observed what the other player was doing and basically copied when  he managed to create a new tool."
76,no,No
78,systematic,"After figuring out what the idea of the game was, I had a better sense of what to do."
79,no,No. I just put the materials randomly.
9075607284,systematic,"Most of the tools need to combine two materials, and some of them are identical materials."
75,no,no
81,systematic,I combine items in order so I can try all the possible combinations.
85,systematic,"at first, combine each of the resources together"
83,systematic,I tried to keep organized and remember which combinations I have tried and which seem to make sense.
84,systematic,At times I would pick in a pattern to try not repeat
86,causal?,"yes, like rock and wood can basically make some good stuff"
88,causal,based on my common sense
89,systematic,Lots of trial and error. Tried to look for patterns in ways tools were formed.
90,systematic,"At first I tried making something out of each individual item, but that only created one new tool. Then I started to combine two items together, but again that only created one new tool. At that point, I tried many new combinations with 3-4 resources. I wasn't able to create anything else and that was extremely frustrating."
92,systematic,"I tried to methodically test all unique possibilities, although i didn't include combos with multiples of the same resource initially, which made me miss some."
93,no,No
91,systematic,Combining the resources in different orders
95,causal,I tried to use logic. So I knew I would somehow have to cut the tree down into logs and I the only resources offered that could have been made into something sharp were the rocks so that's why I decided to workshop the two together.
96,systematic,"I tired, to just combine two items at a time and rotate with the items that I had. If I got a new item I tried it with original resources and well as other discovered resources."
97,systematic,I started by putting one resource and then trying every other resource with it. I would then put in the next resource and repeat. I also made sure to try and use the same object twice to see if it would produce anything.
98,ancestor ,"I created everything my ""ancestor"" created and then tried to figure out which tools were suitable in creating the tools I would need to take the next step."
99,causal,"I tried to logically think of what fit together, but also tested things that may have been unexpected, so I mostly did random guesses."
101,causal?,My specific strategy was combing the woods with the stones to try to create something stronger.
100,causal,I tried every combination that made logical sense to produce an item I thought would be helpful (e.j. the axe)
102,systematic,Brute force pattern combinations
103,systematic,"First I experimented with the initial resources by themselves to see if they gave me any new resources to work with. Then if it did, I would make more of it to then combine with other resources to create new ones."
106,ancestor ,Used the ancestors tools.
104,no,No
105,systematic,"At first I tried to combine two of everything and then moved on to three of everything. It was mostly trail and error, however I thought of what could make a sharp tool and how that eventually could lead to be able to cut a tree so I tried combinations that way."
107,causal,common sense. like breaking down a rock to make an arrowhead
108,causal,I tried to think of what i would need to build a totem
111,systematic,using math combinations.
110,systematic,"Whenever we created new resources, we tried to put them together in order to create more tools."
109,no,"No not really, just combined random things.  However, I did try to make everything my ancestors had made."
