"ID_Group","Size","Open","Treatment","BuildingTime","Status"
"G_1/25/2017 12:57:19 PM",2,0,"Synchronic",25,"E"
"G_1/25/2017 12:59:48 PM",4,0,"Diachronic",25,"E"
"G_1/25/2017 1:32:16 PM",2,0,"Synchronic",25,"E"
"G_1/25/2017 1:34:29 PM",4,0,"Diachronic",25,"E"
"G_1/25/2017 2:19:50 PM",1,0,"Isolated",50,"E"
"G_1/25/2017 2:24:19 PM",1,0,"Isolated",50,"E"
"G_1/25/2017 2:25:17 PM",1,0,"Isolated",50,"E"
"G_1/25/2017 2:27:30 PM",1,0,"Isolated",50,"E"
"G_1/30/2017 11:28:47 AM",2,0,"Synchronic",25,"E"
"G_1/30/2017 11:29:40 AM",4,0,"Diachronic",25,"E"
"G_1/31/2017 10:50:47 AM",1,0,"Isolated",50,"E"
"G_1/31/2017 10:51:23 AM",1,0,"Isolated",50,"E"
"G_1/31/2017 10:51:59 AM",1,0,"Isolated",50,"E"
"G_1/31/2017 10:52:25 AM",1,0,"Isolated",50,"E"
"G_1/31/2017 12:00:47 PM",2,0,"Synchronic",25,"E"
"G_1/31/2017 12:01:26 PM",4,0,"Diachronic",25,"E"
"G_10/10/2017 2:55:44 PM",4,0,"Diachronic",25,NA
"G_10/12/2017 12:33:38 PM",4,0,"Diachronic",25,NA
"G_10/13/2017 12:05:02 PM",2,0,"Diachronic",25,NA
"G_10/16/2017 3:00:00 PM",4,0,"Isolated",25,NA
"G_10/16/2017 3:00:01 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:02 PM",4,0,"Isolated",25,NA
"G_10/16/2017 3:00:03 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:04 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:05 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:06 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:07 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:08 PM",6,0,"Isolated",25,NA
"G_10/16/2017 3:00:09 PM",4,0,"Isolated",25,NA
"G_10/16/2017 3:00:10 PM",6,0,"Isolated",25,NA
"G_10/17/2017 1:58:58 PM",4,0,"Synchronic",25,NA
"G_10/17/2017 2:44:14 PM",4,0,"Synchronic",25,NA
"G_10/18/2017 1:24:36 PM",1,0,"Isolated",25,NA
"G_10/19/2017 12:18:56 PM",4,0,"Synchronic",25,NA
"G_10/19/2017 2:25:35 PM",4,0,"Synchronic",25,NA
"G_10/2/2017 12:29:16 PM",6,0,"Isolated",25,NA
"G_10/2/2017 12:29:27 PM",6,0,"Isolated",25,NA
"G_10/2/2017 12:36:08 PM",4,0,"Isolated",25,NA
"G_10/2/2017 12:58:52 PM",4,0,"Isolated",25,NA
"G_10/2/2017 1:28:36 PM",6,0,"Isolated",25,NA
"G_10/2/2017 1:29:16 PM",6,0,"Isolated",25,NA
"G_10/2/2017 1:29:43 PM",2,0,"Isolated",25,NA
"G_10/2/2017 1:29:49 PM",6,0,"Isolated",25,NA
"G_10/2/2017 2:01:14 PM",6,0,"Isolated",25,NA
"G_10/2/2017 2:01:59 PM",4,0,"Isolated",25,NA
"G_10/2/2017 8:27:56 AM",1,0,"Isolated",1,NA
"G_10/2/2017 8:29:29 AM",1,0,"Isolated",2,NA
"G_10/23/2017 12:58:25 PM",6,0,"Isolated",25,NA
"G_10/23/2017 1:25:13 PM",6,0,"Isolated",25,NA
"G_10/23/2017 1:33:47 PM",6,0,"Isolated",25,NA
"G_10/23/2017 2:49:05 PM",6,0,"Isolated",25,NA
"G_10/23/2017 3:23:59 PM",6,0,"Isolated",25,NA
"G_10/24/2017 3:58:17 PM",4,0,"Synchronic",25,NA
"G_10/25/2017 12:59:32 PM",4,0,"Isolated",25,NA
"G_10/26/2018 11:12:24 AM",1,0,"Isolated",25,NA
"G_10/27/2017 3:10:21 PM",4,0,"Synchronic",25,NA
"G_10/3/2017 10:59:13 AM",4,0,"Synchronic",25,NA
"G_10/3/2017 12:03:24 PM",4,0,"Diachronic",25,NA
"G_10/30/2017 11:01:17 AM",4,0,"Synchronic",25,NA
"G_10/31/2017 9:55:43 AM",4,0,"Synchronic",25,NA
"G_10/4/2017 1:28:43 PM",1,0,"Isolated",25,NA
"G_10/5/2018 1:00:39 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:00:48 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:00:58 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:52:58 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:53:07 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:53:16 PM",2,0,"Diachronic",25,NA
"G_10/5/2018 1:53:23 PM",2,0,"Diachronic",25,NA
"G_10/9/2017 12:28:01 PM",5,0,"Isolated",25,NA
"G_10/9/2017 12:28:08 PM",6,0,"Isolated",25,NA
"G_10/9/2017 12:31:17 PM",4,0,"Isolated",25,NA
"G_10/9/2017 1:01:56 PM",1,0,"Isolated",25,NA
"G_10/9/2017 1:06:42 PM",6,0,"Isolated",25,NA
"G_10/9/2017 2:05:13 PM",2,0,"Isolated",25,NA
"G_10/9/2017 2:06:26 PM",4,0,"Isolated",25,NA
"G_10/9/2017 2:30:09 PM",4,0,"Isolated",25,NA
"G_10/9/2017 2:38:15 PM",6,0,"Isolated",25,NA
"G_10/9/2017 2:38:30 PM",6,0,"Isolated",25,NA
"G_10/9/2017 3:02:16 PM",6,0,"Isolated",25,NA
"G_10/9/2017 3:24:26 PM",4,0,"Isolated",25,NA
"G_10/9/2017 3:24:38 PM",6,0,"Isolated",25,NA
"G_10/9/2017 3:26:28 PM",6,0,"Isolated",25,NA
"G_11/10/2017 10:56:40 AM",4,0,"Synchronic",25,NA
