"ID_Player","Sex","Age","ID_Number","Status_Start","Status_End","ID_Call","Gain","Score","BestTotem","Knowledge","Ancestor","ID_Group","Date"
"100","Male",19,2,1,1,100,15,720,450,NA,0,"G_2/20/2017 10:51:56 AM",NA
"101","Male",19,1,0,0,101,10,105,0,NA,1,"G_2/20/2017 10:52:52 AM",NA
"102","Male",19,1,1,1,102,15,1250,920,NA,0,"G_2/20/2017 12:30:13 PM",NA
"103","Male",19,2,1,1,103,15,1250,920,NA,0,"G_2/20/2017 12:30:13 PM",NA
"104","Female",21,1,1,1,104,12,45,0,NA,0,"G_2/20/2017 2:45:25 PM",NA
"105","Female",19,2,1,1,105,18,90,0,NA,0,"G_2/20/2017 2:45:25 PM",NA
"106","Female",18,2,0,0,106,10,105,0,NA,2,"G_2/20/2017 10:52:52 AM",NA
"107","Male",18,1,0,0,107,10,90,0,NA,1,"G_2/20/2017 2:51:15 PM",NA
"108","Male",18,1,1,1,108,15,120,0,NA,0,"G_2/20/2017 3:18:11 PM",NA
"109","Female",21,2,0,0,109,10,105,0,NA,2,"G_2/20/2017 2:51:15 PM",NA
"110","Female",18,2,1,1,110,15,120,0,NA,0,"G_2/20/2017 3:18:11 PM",NA
"111","Female",20,1,0,0,111,5,45,0,NA,1,"G_2/20/2017 3:33:10 PM",NA
"112","Female",20,1,1,1,112,15,90,0,NA,0,"G_2/20/2017 4:03:21 PM",NA
"113","Male",19,2,0,0,113,10,120,0,NA,2,"G_2/20/2017 3:33:10 PM",NA
"114","Male",19,2,1,1,114,15,90,0,NA,0,"G_2/20/2017 4:03:21 PM",NA
"115","Male",19,1,1,1,115,15,180,0,NA,0,"G_2/23/2017 11:06:28 AM",NA
"116","Female",18,2,1,1,116,15,165,0,NA,0,"G_2/23/2017 11:06:28 AM",NA
"117","Male",19,1,0,0,117,10,105,0,NA,1,"G_2/23/2017 11:07:29 AM",NA
"118","Male",19,2,0,0,118,10,120,0,NA,2,"G_2/23/2017 11:07:29 AM",NA
"119","Male",18,1,0,0,119,10,105,0,NA,1,"G_2/24/2017 12:28:20 PM",NA
