"ID_Obs","PlayerObs","RankObs","RankFocal","StartTime","StopTime","ID_Player"
"100_218","219",1,2,723361,NA,"218"
"100_221","220",2,1,725420,NA,"221"
"100_237","238",1,1,715452,NA,"237"
"100_245","243",1,4,713767,NA,"245"
"100_251","250",1,1,543398,NA,"251"
"100_260","210",0,0,1149493,NA,"260"
"100_278","277",2,1,612210,NA,"278"
"100_294","295",1,1,444977,NA,"294"
"100_301","304",1,3,498221,NA,"301"
"100_310","309",1,1,455148,NA,"310"
"100_312","309",1,1,516722,NA,"312"
"100_320","322",3,1,576439,NA,"320"
"100_33","34",1,1,557797,NA,"33"
"100_331","330",1,1,465085,NA,"331"
"100_360","358",1,3,581213,NA,"360"
"100_377","362",0,0,915570,NA,"377"
"100_38","37",1,2,588779,NA,"38"
"100_496","497",1,1,682972,NA,"496"
"100_502","501",1,1,566050,NA,"502"
"100_506","118",0,0,799411,NA,"506"
"100_52","51",1,2,763484,NA,"52"
"100_60","59",1,2,511371,NA,"60"
"100_608","561",0,0,718790,NA,"608"
"100_612","610",1,1,646983,NA,"612"
"100_623","625",1,4,781612,NA,"623"
"100_63","62",1,1,854480,NA,"63"
"100_634","637",1,4,621882,NA,"634"
"100_647","648",1,1,436740,NA,"647"
"100_652","649",1,4,758929,NA,"652"
"100_678","677",1,2,673051,NA,"678"
"100_703","702",2,1,654674,NA,"703"
"100_708","706",0,0,621726,NA,"708"
"100_72","74",2,1,588265,NA,"72"
"100_721","718",1,1,1300003,NA,"721"
"100_724","714",0,0,1016269,NA,"724"
"100_772","741",0,0,1167309,NA,"772"
"100_781","784",1,1,483182,NA,"781"
"100_786","785",1,1,472340,NA,"786"
"100_80","79",2,1,567672,NA,"80"
"100_838","835",1,1,433433,NA,"838"
"100_840","823",0,0,1098544,NA,"840"
"100_846","389",0,0,928594,NA,"846"
"101_12","13",1,1,594676,NA,"12"
"101_177","176",1,2,732924,NA,"177"
"101_195","135",0,0,482527,NA,"195"
"101_215","194",0,0,825947,NA,"215"
"101_238","237",1,1,703361,NA,"238"
"101_256","257",1,4,634175,NA,"256"
"101_282","283",1,3,671335,NA,"282"
"101_294","296",4,1,448674,NA,"294"
"101_299","224",0,0,753204,NA,"299"
"101_385","374",0,0,528999,NA,"385"
"101_430","414",0,0,568983,NA,"430"
"101_431","412",0,0,1193985,NA,"431"
"101_439","422",0,0,415321,NA,"439"
"101_496","498",1,1,684719,NA,"496"
"101_506","118",0,0,800129,NA,"506"
"101_537","27",0,0,837460,NA,"537"
"101_55","54",0,0,1184781,NA,"55"
"101_562","126",0,0,731270,NA,"562"
"101_612","611",1,1,647857,NA,"612"
"101_634","637",1,4,628590,NA,"634"
"101_638","639",1,2,717059,NA,"638"
"101_662","661",1,1,685671,NA,"662"
"101_677","678",2,1,599512,NA,"677"
"101_691","687",0,0,634176,NA,"691"
"101_698","697",1,1,805933,NA,"698"
"101_701","702",1,2,532369,NA,"701"
"101_721","719",1,1,1300503,NA,"721"
