"Key_Tool","ID_Obs_WS","ToolObs","ToolTime","ID_Player"
239,"4_12","R0_0_0_2",65505,"12"
240,"4_12","R0_0_0_2",66800,"12"
241,"4_12","R0_0_0_2",69717,"12"
242,"39_14","R0_0_0_2",218012,"14"
243,"39_14","R0_0_3_6",221303,"14"
244,"63_14","R0_0_3_6",337883,"14"
245,"63_14","R0_0_0_2",343062,"14"
246,"63_14","R0_0_3_6",346650,"14"
247,"34_13","R0_0_3_6",208573,"13"
248,"39_13","R0_0_3_3",240678,"13"
249,"56_12","R0_0_11_23",291223,"12"
250,"56_12","R0_0_11_23",294920,"12"
251,"56_12","R0_0_11_23",295310,"12"
252,"56_12","R0_0_3_6",298680,"12"
253,"56_12","R0_0_0_13",300786,"12"
254,"56_12","R0_0_0_13",302283,"12"
255,"56_12","R0_0_0_2",302907,"12"
256,"56_12","R0_0_0_13",303703,"12"
257,"56_12","R0_0_0_13",314186,"12"
258,"56_12","R0_0_0_2",314982,"12"
259,"56_12","R0_0_0_13",318148,"12"
260,"58_13","R0_0_0_13",353061,"13"
261,"58_13","R0_0_3_3",354434,"13"
262,"58_13","R0_0_3_6",354949,"13"
263,"58_13","R0_0_0_2",355386,"13"
264,"58_13","R0_0_3_6",356275,"13"
265,"68_12","R0_0_11_23",365573,"12"
266,"68_12","R0_0_11_23",366306,"12"
267,"68_12","R0_0_3_3",368116,"12"
268,"68_12","R0_0_3_6",371641,"12"
269,"68_12","R0_0_11_23",372437,"12"
270,"68_12","R0_0_3_3",374824,"12"
271,"68_12","R0_0_3_6",375214,"12"
272,"74_12","R0_0_3_3",402295,"12"
273,"74_12","R0_0_0_13",403372,"12"
274,"74_12","R0_0_3_6",404292,"12"
275,"75_12","R0_0_11_23",405415,"12"
276,"75_12","R0_0_3_6",407209,"12"
277,"66_13","R0_0_11_23",412607,"13"
278,"72_13","R0_0_3_6",448347,"13"
279,"85_12","R0_0_0_2",468845,"12"
280,"87_12","R0_0_3_3",491559,"12"
281,"88_12","R0_0_0_2",501793,"12"
282,"88_12","R0_0_3_6",502760,"12"
283,"88_12","R0_0_3_3",503384,"12"
284,"88_12","R0_0_0_13",503883,"12"
285,"88_12","R0_0_11_23",504445,"12"
286,"93_12","R0_0_3_3",544756,"12"
287,"82_13","R0_0_11_11",571073,"13"
288,"83_13","R0_0_3_3",576408,"13"
289,"110_12","R0_0_1_12",661101,"12"
290,"112_12","R0_0_12_15",671709,"12"
291,"113_12","R0_0_11_23",689836,"12"
292,"123_12","R0_0_1_12",760973,"12"
293,"131_12","R0_0_12_15",801034,"12"
294,"133_12","R0_0_3_6",825245,"12"
295,"138_12","R0_0_3_3",856867,"12"
296,"141_12","R0_0_16_16",869908,"12"
297,"145_12","R0_0_12_15",908862,"12"
298,"219_14","R0_0_3_3",1124144,"14"
299,"244_14","R0_0_3_3",1229226,"14"
300,"178_12","R0_0_0_2",1085205,"12"
301,"183_12","R0_12_14_17",1105439,"12"
302,"183_12","R0_0_0_13",1107701,"12"
303,"183_12","R0_0_0_13",1109152,"12"
304,"183_12","R0_0_0_2",1109869,"12"
305,"183_12","R0_0_0_13",1110244,"12"
306,"164_13","R0_12_14_17",1120492,"13"
307,"185_12","R0_12_14_17",1120945,"12"
308,"164_13","R0_0_11_11",1129150,"13"
309,"186_12","R0_12_14_17",1134127,"12"
310,"187_12","R0_0_1_18",1136655,"12"
311,"165_13","R0_12_14_17",1138058,"13"
312,"165_13","R0_0_11_11",1139244,"13"
313,"189_12","R0_0_2_18",1148277,"12"
314,"258_14","R0_0_11_23",1302078,"14"
315,"258_14","R0_0_3_3",1311048,"14"
316,"258_14","R0_0_11_23",1312406,"14"
317,"196_12","R0_0_12_19",1183517,"12"
318,"174_13","R0_0_12_19",1193595,"13"
319,"174_13","R0_0_2_18",1201114,"13"
320,"266_14","R0_0_3_3",1359190,"14"
321,"201_12","R0_0_2_18",1227650,"12"
322,"201_12","R0_0_12_19",1228367,"12"
323,"208_12","R0_0_18_20",1260535,"12"
324,"188_13","R0_0_18_20",1266665,"13"
325,"211_12","R0_0_12_19",1285308,"12"
326,"213_12","R0_0_12_19",1299223,"12"
327,"280_14","R0_0_1_12",1449312,"14"
328,"213_12","R0_0_11_11",1303529,"12"
329,"213_12","R0_0_11_23",1305042,"12"
330,"197_13","R0_0_20_24",1305837,"13"
331,"213_12","R0_0_11_23",1306009,"12"
332,"213_12","R0_0_11_11",1307054,"12"
333,"280_14","R0_0_12_15",1454788,"14"
334,"213_12","R0_0_20_24",1308536,"12"
335,"214_12","R0_0_12_19",1321344,"12"
336,"214_12","R0_0_2_18",1325665,"12"
337,"199_13","R0_0_12_19",1327272,"13"
338,"199_13","R0_0_2_18",1329456,"13"
339,"216_12","R0_0_12_19",1342560,"12"
340,"218_12","R0_0_20_24",1352685,"12"
341,"205_13","R0_0_18_20",1355446,"13"
342,"205_13","R0_0_1_12",1357957,"13"
343,"205_13","R0_0_18_20",1358878,"13"
344,"221_12","R0_0_18_19",1369782,"12"
345,"221_12","R0_0_1_12",1378097,"12"
346,"222_12","R0_0_2_18",1388768,"12"
347,"225_12","R0_0_22_24",1406209,"12"
348,"222_13","R0_0_22_24",1472181,"13"
349,"236_12","R0_0_20_24",1476830,"12"
350,"236_12","R0_0_12_19",1480106,"12"
351,"236_12","R0_0_2_18",1482478,"12"
352,"238_12","R0_0_12_19",1494256,"12"
353,"224_13","R0_0_18_19",1498296,"13"
354,"4_17","R0_0_0_2",33602,"17"
355,"3_16","R0_0_0_2",27909,"16"
356,"8_17","R0_0_12_15",74615,"17"
357,"8_17","R0_0_0_2",78031,"17"
358,"8_17","R0_0_3_6",85894,"17"
359,"10_17","R0_0_3_3",100948,"17"
360,"12_17","R0_0_11_23",108311,"17"
361,"14_16","R0_0_0_2",94973,"16"
362,"14_16","R0_0_3_6",95753,"16"
363,"14_17","R0_0_3_3",118592,"17"
364,"14_17","R0_0_1_12",121025,"17"
365,"14_16","R0_0_0_2",98951,"16"
366,"14_16","R0_0_3_6",100028,"16"
367,"14_17","R0_0_12_15",124223,"17"
368,"14_17","R0_0_11_11",127234,"17"
369,"14_17","R0_0_11_23",131727,"17"
370,"26_15","R0_0_0_2",113553,"15"
371,"26_15","R0_0_3_6",114489,"15"
372,"18_16","R0_0_3_6",114692,"16"
373,"18_16","R0_0_0_2",118623,"16"
374,"18_16","R0_0_3_6",119793,"16"
375,"14_17","R0_0_0_2",144800,"17"
376,"20_16","R0_0_3_6",133615,"16"
377,"20_16","R0_0_0_2",137546,"16"
378,"20_16","R0_0_3_6",139527,"16"
379,"34_15","R0_0_3_6",157218,"15"
380,"34_15","R0_0_0_2",157826,"15"
381,"24_16","R0_0_0_2",161211,"16"
382,"25_16","R0_0_3_6",163832,"16"
383,"35_15","R0_0_0_2",166578,"15"
384,"27_16","R0_0_0_2",182272,"16"
385,"27_16","R0_0_3_6",184346,"16"
386,"22_17","R0_0_12_15",215234,"17"
387,"22_17","R0_0_1_12",218011,"17"
388,"25_17","R0_0_3_3",229165,"17"
389,"25_17","R0_0_3_6",230179,"17"
390,"32_16","R0_0_3_3",208137,"16"
391,"25_17","R0_0_0_2",230616,"17"
392,"32_16","R0_0_3_6",208995,"16"
393,"32_16","R0_0_3_3",209962,"16"
394,"26_17","R0_0_1_12",243018,"17"
395,"26_17","R0_0_11_11",244968,"17"
396,"26_17","R0_0_3_3",247324,"17"
397,"26_17","R0_0_11_23",254203,"17"
398,"26_17","R0_0_11_11",255810,"17"
399,"28_17","R0_0_1_12",266215,"17"
400,"28_17","R0_0_11_11",271972,"17"
401,"37_16","R0_0_3_3",252238,"16"
402,"28_17","R0_0_3_3",274749,"17"
403,"37_16","R0_0_3_6",254703,"16"
404,"37_16","R0_0_3_3",256107,"16"
405,"40_16","R0_0_0_2",268930,"16"
406,"40_16","R0_0_3_6",270147,"16"
407,"40_16","R0_0_3_3",273002,"16"
408,"40_16","R0_0_3_6",274125,"16"
409,"55_15","R0_0_3_3",281441,"15"
410,"31_17","R0_0_11_11",304342,"17"
411,"55_15","R0_0_3_6",284577,"15"
412,"55_15","R0_0_3_3",285809,"15"
413,"34_17","R0_0_11_11",317290,"17"
414,"34_17","R0_0_11_23",318133,"17"
415,"36_17","R0_0_11_11",334185,"17"
416,"46_16","R0_0_3_3",320348,"16"
417,"38_17","R0_0_11_11",345043,"17"
418,"46_16","R0_0_3_6",330613,"16"
419,"40_17","R0_0_1_12",357897,"17"
420,"65_15","R0_0_3_3",345058,"15"
421,"65_15","R0_0_3_6",345854,"15"
422,"65_15","R0_0_0_2",346806,"15"
423,"42_17","R0_0_12_15",371906,"17"
424,"49_16","R0_0_3_6",354840,"16"
425,"49_16","R0_0_3_3",355417,"16"
426,"49_16","R0_0_0_2",356072,"16"
427,"49_16","R0_0_3_6",356774,"16"
428,"66_15","R0_0_3_3",357991,"15"
429,"47_18","R0_0_3_3",327446,"18"
430,"66_15","R0_0_3_3",358350,"15"
431,"47_18","R0_0_0_2",328585,"18"
432,"47_18","R0_0_3_3",333701,"18"
433,"43_17","R0_0_1_12",396118,"17"
434,"52_18","R0_0_0_2",359473,"18"
435,"54_16","R0_0_3_6",394542,"16"
436,"54_16","R0_0_3_3",395385,"16"
437,"54_16","R0_0_0_2",396461,"16"
438,"54_16","R0_0_3_6",397366,"16"
439,"54_16","R0_0_3_3",398068,"16"
440,"45_17","R0_0_3_3",422216,"17"
441,"45_17","R0_0_0_2",429034,"17"
442,"62_16","R0_0_0_2",453542,"16"
443,"62_16","R0_0_3_6",454134,"16"
444,"62_16","R0_0_3_3",454821,"16"
445,"63_16","R0_0_11_23",472808,"16"
446,"54_17","R0_0_11_23",511605,"17"
447,"65_16","R0_0_11_23",493728,"16"
448,"65_16","R0_0_3_6",495693,"16"
449,"65_16","R0_0_3_3",496333,"16"
450,"55_17","R0_0_3_3",521137,"17"
451,"66_16","R0_0_3_6",506488,"16"
452,"56_17","R0_0_11_23",528937,"17"
453,"56_17","R0_0_11_11",529592,"17"
454,"66_16","R0_0_3_3",507674,"16"
